,duration,object,caption,prob
13,13,potted plant_0.76;fork_0.55;oven_0.92;wine glass_0.64;book_0.59;bottle_0.74;cell phone_0.69;vase_0.92,a group of people standing around a table .,0.000784
14,14,potted plant_0.76;fork_0.55;oven_0.92;wine glass_0.64;book_0.59;bottle_0.74;cell phone_0.69;vase_0.92,a group of people standing around a table .,0.000784
15,15,toothbrush_0.58;chair_0.35,a man is holding a glass of wine .,0.000588
16,16,toothbrush_0.58;chair_0.35,a man is holding a glass of wine .,0.000588
17,17,bottle_0.39;clock_0.77;chair_0.89;bicycle_0.76;fork_0.57,a man and a woman standing next to each other .,0.001291
18,18,bottle_0.39;clock_0.77;chair_0.89;bicycle_0.76;fork_0.57,a man and a woman standing next to each other .,0.001291
19,19,cup_0.44;dining table_0.54;oven_0.89;bottle_0.60;chair_1.00;refrigerator_1.00;bowl_0.92,a group of people standing around a kitchen .,0.002316
20,20,cup_0.44;dining table_0.54;oven_0.89;bottle_0.60;chair_1.00;refrigerator_1.00;bowl_0.92,a group of people standing around a kitchen .,0.002316
21,21,cup_0.44;dining table_0.54;oven_0.89;bottle_0.60;chair_1.00;refrigerator_1.00;bowl_0.92,a group of people standing around a kitchen .,0.002316
22,22,suitcase_0.52;book_0.50;chair_0.89;vase_0.55;potted plant_0.56,a woman holding a nintendo wii game controller .,0.008532
23,23,suitcase_0.52;book_0.50;chair_0.89;vase_0.55;potted plant_0.56,a woman holding a nintendo wii game controller .,0.008532
24,24,suitcase_0.52;book_0.50;chair_0.89;vase_0.55;potted plant_0.56,a woman holding a nintendo wii game controller .,0.008532
25,25,suitcase_0.52;book_0.50;chair_0.89;vase_0.55;potted plant_0.56,a woman holding a nintendo wii game controller .,0.008532
26,26,chair_0.64;bench_0.73;potted plant_0.99;bed_0.55,a man and a woman standing next to each other .,0.000184
27,27,chair_0.64;bench_0.73;potted plant_0.99;bed_0.55,a man and a woman standing next to each other .,0.000184
28,28,chair_0.64;bench_0.73;potted plant_0.99;bed_0.55,a man and a woman standing next to each other .,0.000184
29,29,wine glass_0.92,a group of people standing next to each other .,0.002457
30,30,cup_0.49;fork_0.62;bottle_0.70;chair_0.58;cell phone_0.88;vase_0.65,a man and a woman standing next to each other .,0.000289
31,31,cup_0.49;fork_0.62;bottle_0.70;chair_0.58;cell phone_0.88;vase_0.65,a man and a woman standing next to each other .,0.000289
32,32,cup_0.49;fork_0.62;bottle_0.70;chair_0.58;cell phone_0.88;vase_0.65,a man and a woman standing next to each other .,0.000289
33,33,couch_0.65;chair_0.88,a man and a woman standing next to each other .,0.000778
34,34,couch_0.65;chair_0.88,a man and a woman standing next to each other .,0.000778
35,35,couch_0.65;chair_0.88,a man and a woman standing next to each other .,0.000778
36,36,clock_0.51;fork_0.44;wine glass_0.88;book_0.54;bottle_0.47;chair_0.61;cell phone_0.55;vase_0.44,a group of people standing around each other .,0.000687
37,37,,a man and a woman standing next to each other .,0.000679
38,38,,a man and a woman standing next to each other .,0.000679
39,39,cup_0.79;sink_0.79;banana_0.81;wine glass_0.99;bottle_0.92;refrigerator_0.98,a woman holding a glass of wine in a kitchen .,0.000135
40,40,cup_0.79;sink_0.79;banana_0.81;wine glass_0.99;bottle_0.92;refrigerator_0.98,a woman holding a glass of wine in a kitchen .,0.000135
41,41,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
42,42,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
43,43,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
44,44,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
45,45,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
46,46,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
47,47,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
48,48,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
49,49,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
50,50,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
51,51,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
52,52,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
53,53,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
54,54,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
55,55,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
56,56,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
57,57,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
58,58,potted plant_0.99;couch_0.57;bench_0.79;cat_0.49;bottle_0.54;tie_0.86;chair_0.93;bed_0.89,a woman sitting on a bench in front of a building .,0.000287
59,59,bottle_0.72;wine glass_0.96,a group of men standing next to each other .,0.007404
60,60,potted plant_0.99;bench_0.58;bottle_0.58;tie_0.99;chair_0.57;bed_0.58,a woman sitting on a bench talking on a cell phone .,0.001626
61,61,potted plant_0.99;bench_0.58;bottle_0.58;tie_0.99;chair_0.57;bed_0.58,a woman sitting on a bench talking on a cell phone .,0.001626
62,62,potted plant_0.99;bench_0.58;bottle_0.58;tie_0.99;chair_0.57;bed_0.58,a woman sitting on a bench talking on a cell phone .,0.001626
63,63,couch_0.79;bottle_0.55;chair_0.99;handbag_0.62;potted plant_0.44,a man and a woman standing next to each other .,0.001226
64,64,couch_0.79;bottle_0.55;chair_0.99;handbag_0.62;potted plant_0.44,a man and a woman standing next to each other .,0.001226
65,65,couch_0.79;bottle_0.55;chair_0.99;handbag_0.62;potted plant_0.44,a man and a woman standing next to each other .,0.001226
66,66,couch_0.79;bottle_0.55;chair_0.99;handbag_0.62;potted plant_0.44,a man and a woman standing next to each other .,0.001226
67,67,couch_0.79;bottle_0.55;chair_0.99;handbag_0.62;potted plant_0.44,a man and a woman standing next to each other .,0.001226
68,68,cup_0.45;dining table_0.71;potted plant_0.50;couch_0.92;wine glass_0.54;bottle_0.80;book_0.69;chair_0.98;refrigerator_0.79;vase_0.40,a group of people standing around a kitchen .,0.002376
69,69,traffic light_0.49;clock_0.99;stop sign_0.58,a group of people standing on top of a street .,4.30E-05
70,70,bottle_0.61;clock_0.97;traffic light_0.55,a group of people standing in front of a tall building .,7.20E-05
71,71,bottle_0.61;clock_0.97;traffic light_0.55,a group of people standing in front of a tall building .,7.20E-05
72,72,teddy bear_0.46;umbrella_0.81;bench_0.45,a group of people standing next to each other .,0.000828
73,73,teddy bear_0.46;umbrella_0.81;bench_0.45,a group of people standing next to each other .,0.000828
74,74,cup_0.40;potted plant_0.66;car_0.48;cake_0.57;tie_0.91;chair_0.40;vase_0.58,a man and woman standing next to each other .,0.001935
75,75,cup_0.40;potted plant_0.66;car_0.48;cake_0.57;tie_0.91;chair_0.40;vase_0.58,a man and woman standing next to each other .,0.001935
76,76,couch_0.82;chair_0.42;dining table_0.45,a woman sitting on a couch holding a wii remote .,0.001664
77,77,,a woman is holding a wii remote in her hand .,0.000214
78,78,,a woman is holding a wii remote in her hand .,0.000214
79,79,tv_0.98,a woman in a white shirt and black tie,5.80E-05
80,80,,a group of people standing around each other .,0.000203
81,81,bottle_0.92;cup_0.47;refrigerator_0.64;vase_0.95;potted plant_0.88,a woman holding a cell phone in her hand .,0.000288
82,82,dining table_0.38,a woman sitting on a couch holding a cell phone .,0.000647
83,83,,a woman is holding a cell phone to her ear .,0.000225
84,84,couch_0.87;book_0.40;bowl_0.47;bed_0.56,a man standing in a living room holding a nintendo wii game controller .,0.00038
85,85,potted plant_0.71;dining table_0.76;couch_0.40;microwave_0.52;book_0.81;chair_0.99;refrigerator_0.66;bowl_0.40;vase_0.94,a couple of people that are sitting at a table,0.000871
86,86,potted plant_0.71;dining table_0.76;couch_0.40;microwave_0.52;book_0.81;chair_0.99;refrigerator_0.66;bowl_0.40;vase_0.94,a couple of people that are sitting at a table,0.000871
87,87,potted plant_0.53;car_0.70,a woman holding a teddy bear in a room .,5.20E-05
88,88,book_0.53;bottle_0.80;cup_0.66,a man in a suit talking on a cell phone .,0.001409
89,89,bottle_0.54,a man holding a nintendo wii game controller .,0.006175
90,90,bottle_0.47,a man and a woman standing in the water .,4.60E-05
91,91,couch_0.66;chair_1.00;bed_0.58,a man sitting on a couch holding a nintendo wii controller .,0.000806
92,92,bowl_0.53;chair_0.85,a man sitting on a couch holding a wii controller .,0.001786
93,93,,a man in a suit and tie standing next to a woman .,0.000189
94,94,,a man in a suit and tie standing on a sidewalk .,4.00E-05
95,95,,a man in a suit and tie standing on a sidewalk .,4.00E-05
96,96,,a man is holding a video game controller,0.001128
97,97,tie_0.98;dog_0.61,a man and a woman standing next to each other .,0.001295
98,98,cup_0.43;oven_0.99;backpack_0.53;microwave_0.41;bottle_0.87;chair_0.64;refrigerator_0.97;bed_0.57,a man standing in a kitchen next to a refrigerator .,0.0014
99,99,couch_0.86;dining table_0.54;cup_0.36;potted plant_0.78;bed_0.52,a group of people sitting around a table .,0.000436
100,100,couch_0.86;dining table_0.54;cup_0.36;potted plant_0.78;bed_0.52,a group of people sitting around a table .,0.000436
101,101,cake_0.43;bottle_0.39,a statue of a man sitting on top of a bench .,7.00E-06
102,102,cake_0.43;bottle_0.39,a statue of a man sitting on top of a bench .,7.00E-06
103,103,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
104,104,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
105,105,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
106,106,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
107,107,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
108,108,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
109,109,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
110,110,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
111,111,cup_0.37;dining table_0.88;potted plant_0.90;couch_0.63;umbrella_0.43;wine glass_0.53;car_0.70;tv_0.48;book_0.74;chair_0.83;train_0.49;traffic light_0.78;handbag_0.43;vase_0.42,a man sitting on a bench in front of a store .,5.10E-05
112,112,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
113,113,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
114,114,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
115,115,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
116,116,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
117,117,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
118,118,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
119,119,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
120,120,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
121,121,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
122,122,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
123,123,cup_0.79;knife_0.74;potted plant_0.49;couch_0.97;wine glass_0.97;teddy bear_0.47;bottle_0.86;tie_0.93;book_0.60;vase_0.61,a man and a woman sitting on a bench .,0.000469
124,124,cup_0.72;wine glass_0.90,a woman holding a cell phone in her hand .,0.000918
125,125,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
126,126,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
127,127,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
128,128,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
129,129,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
130,130,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
131,131,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
132,132,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
133,133,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
134,134,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
135,135,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
136,136,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
137,137,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
138,138,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
139,139,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
140,140,cup_0.92;potted plant_0.84;couch_0.86;wine glass_0.94;bottle_0.94;book_0.43;handbag_0.38;vase_0.95,a man and a woman standing next to each other .,0.000477
141,141,cup_0.67;dining table_0.75;potted plant_0.88;couch_0.81;bench_0.36;wine glass_0.66;tv_0.88;chair_0.61;vase_0.60,a group of people sitting around a wooden table .,0.00232
142,142,cup_0.67;dining table_0.75;potted plant_0.88;couch_0.81;bench_0.36;wine glass_0.66;tv_0.88;chair_0.61;vase_0.60,a group of people sitting around a wooden table .,0.00232
143,143,suitcase_0.42;teddy bear_0.45;cup_0.88;wine glass_1.00;remote_0.81,a woman holding a nintendo wii game controller .,0.005216
144,144,suitcase_0.42;teddy bear_0.45;cup_0.88;wine glass_1.00;remote_0.81,a woman holding a nintendo wii game controller .,0.005216
145,145,suitcase_0.42;teddy bear_0.45;cup_0.88;wine glass_1.00;remote_0.81,a woman holding a nintendo wii game controller .,0.005216
146,146,suitcase_0.42;teddy bear_0.45;cup_0.88;wine glass_1.00;remote_0.81,a woman holding a nintendo wii game controller .,0.005216
147,147,suitcase_0.42;teddy bear_0.45;cup_0.88;wine glass_1.00;remote_0.81,a woman holding a nintendo wii game controller .,0.005216
148,148,couch_0.86;bottle_0.87;wine glass_0.99,a group of people sitting on a couch .,0.002761
149,149,cup_0.78;dining table_0.50;potted plant_0.66;couch_0.68;wine glass_0.64;chair_0.63;vase_0.61,a woman sitting at a table with a plate of food .,0.000469
150,150,cup_0.78;dining table_0.50;potted plant_0.66;couch_0.68;wine glass_0.64;chair_0.63;vase_0.61,a woman sitting at a table with a plate of food .,0.000469
151,151,cup_0.78;dining table_0.50;potted plant_0.66;couch_0.68;wine glass_0.64;chair_0.63;vase_0.61,a woman sitting at a table with a plate of food .,0.000469
152,152,suitcase_0.64;cup_0.83,a woman standing in a room with a remote .,0.00021
153,153,suitcase_0.64;cup_0.83,a woman standing in a room with a remote .,0.00021
154,154,suitcase_0.64;cup_0.83,a woman standing in a room with a remote .,0.00021
155,155,suitcase_0.64;cup_0.83,a woman standing in a room with a remote .,0.00021
156,156,couch_0.90;cup_0.58;wine glass_0.92;vase_0.38,a woman and a girl are sitting at a table,3.90E-05
157,157,tv_0.89;couch_0.44;oven_0.39;cup_0.66;wine glass_0.83,a woman sitting at a table with a glass of wine .,0.000753
158,158,tv_0.89;couch_0.44;oven_0.39;cup_0.66;wine glass_0.83,a woman sitting at a table with a glass of wine .,0.000753
159,159,tv_0.89;couch_0.44;oven_0.39;cup_0.66;wine glass_0.83,a woman sitting at a table with a glass of wine .,0.000753
160,160,cup_0.94;potted plant_0.85;couch_0.77;wine glass_0.36;bottle_0.86;chair_0.47;vase_0.96,a group of people sitting around a table .,0.000968
161,161,cup_0.94;potted plant_0.85;couch_0.77;wine glass_0.36;bottle_0.86;chair_0.47;vase_0.96,a group of people sitting around a table .,0.000968
162,162,cup_0.94;potted plant_0.85;couch_0.77;wine glass_0.36;bottle_0.86;chair_0.47;vase_0.96,a group of people sitting around a table .,0.000968
163,163,cup_0.94;potted plant_0.85;couch_0.77;wine glass_0.36;bottle_0.86;chair_0.47;vase_0.96,a group of people sitting around a table .,0.000968
164,164,cup_0.58,a woman standing in a room with a remote .,0.000551
165,165,cup_0.90;potted plant_0.81;dining table_0.78;couch_0.98;bench_0.49;wine glass_0.53;tv_0.99;book_0.91;bottle_0.82;chair_0.93;pizza_0.71;bowl_0.85;vase_0.92,a group of people sitting around a wooden table .,0.002913
166,166,cup_0.90;potted plant_0.81;dining table_0.78;couch_0.98;bench_0.49;wine glass_0.53;tv_0.99;book_0.91;bottle_0.82;chair_0.93;pizza_0.71;bowl_0.85;vase_0.92,a group of people sitting around a wooden table .,0.002913
167,167,cup_0.90;potted plant_0.81;dining table_0.78;couch_0.98;bench_0.49;wine glass_0.53;tv_0.99;book_0.91;bottle_0.82;chair_0.93;pizza_0.71;bowl_0.85;vase_0.92,a group of people sitting around a wooden table .,0.002913
168,168,cup_0.90;potted plant_0.81;dining table_0.78;couch_0.98;bench_0.49;wine glass_0.53;tv_0.99;book_0.91;bottle_0.82;chair_0.93;pizza_0.71;bowl_0.85;vase_0.92,a group of people sitting around a wooden table .,0.002913
169,169,cup_0.90;potted plant_0.81;dining table_0.78;couch_0.98;bench_0.49;wine glass_0.53;tv_0.99;book_0.91;bottle_0.82;chair_0.93;pizza_0.71;bowl_0.85;vase_0.92,a group of people sitting around a wooden table .,0.002913
170,170,cup_0.90;potted plant_0.81;dining table_0.78;couch_0.98;bench_0.49;wine glass_0.53;tv_0.99;book_0.91;bottle_0.82;chair_0.93;pizza_0.71;bowl_0.85;vase_0.92,a group of people sitting around a wooden table .,0.002913
171,171,chair_0.90;dining table_0.65,a group of people standing in a room .,0.001991
172,172,cup_0.70;sink_0.88;dining table_0.80;couch_0.58;wine glass_0.45;bottle_0.66;chair_1.00,a group of people standing around a kitchen .,0.001696
173,173,cup_0.70;sink_0.88;dining table_0.80;couch_0.58;wine glass_0.45;bottle_0.66;chair_1.00,a group of people standing around a kitchen .,0.001696
174,174,cup_0.70;sink_0.88;dining table_0.80;couch_0.58;wine glass_0.45;bottle_0.66;chair_1.00,a group of people standing around a kitchen .,0.001696
175,175,,a man standing in front of a wall holding a skateboard .,7.10E-05
176,176,,a man standing in front of a wall holding a skateboard .,7.10E-05
177,177,bottle_0.35;cup_0.55,a group of people standing next to each other .,0.001507
178,178,bottle_0.35;cup_0.55,a group of people standing next to each other .,0.001507
179,179,bottle_0.35;cup_0.55,a group of people standing next to each other .,0.001507
180,180,bottle_0.35;cup_0.55,a group of people standing next to each other .,0.001507
181,181,book_0.83;vase_0.72;potted plant_0.94,a man in a suit and tie standing in a room .,3.00E-05
182,182,book_0.83;vase_0.72;potted plant_0.94,a man in a suit and tie standing in a room .,3.00E-05
183,183,book_0.83;vase_0.72;potted plant_0.94,a man in a suit and tie standing in a room .,3.00E-05
184,184,sink_0.53;dining table_0.74;wine glass_0.99;bottle_0.96;tie_0.38;chair_0.99;clock_0.51;handbag_0.63,a group of people standing around a table .,0.00469
185,185,sink_0.53;dining table_0.74;wine glass_0.99;bottle_0.96;tie_0.38;chair_0.99;clock_0.51;handbag_0.63,a group of people standing around a table .,0.00469
186,186,sink_0.53;dining table_0.74;wine glass_0.99;bottle_0.96;tie_0.38;chair_0.99;clock_0.51;handbag_0.63,a group of people standing around a table .,0.00469
187,187,couch_0.40;chair_0.59,a couple of women standing next to each other .,0.004905
188,188,couch_0.40;chair_0.59,a couple of women standing next to each other .,0.004905
189,189,couch_0.40;chair_0.59,a couple of women standing next to each other .,0.004905
190,190,dining table_0.51;sink_0.91;wine glass_0.98;bottle_0.90;tie_0.37;chair_0.99;clock_0.63,a group of people standing around a table .,0.003301
191,191,book_0.75;cup_0.61;vase_0.86;potted plant_0.98,a woman standing in front of a christmas tree .,0.000778
